,company_name,ratings,company_type,location,other_loc
340,Gallagher,3.7,Insurance, New Delhi ,28 other locations
341,Exl India,3.5,Logistics, New Delhi ,43 other locations
342,Bajaj Electricals,3.9,Consumer Electronics & Appliances, New Delhi ,233 other locations
343,Sterlite Technologies,3.8,Hardware & Networking, New Delhi ,101 other locations
344,Adani Power,3.7,Power, New Delhi ,127 other locations
345,Movate,3.1,IT Services & Consulting, New Delhi ,38 other locations
346,Sammaan Capital Limited,3.8,NBFC, New Delhi ,201 other locations
347,Alldigi Tech,3.9,BPO, New Delhi ,36 other locations
348,Foundever,3.4,BPO, New Delhi ,23 other locations
349,DBS Bank,3.7,Banking, New Delhi ,175 other locations
350,V-Mart,4.1,Retail, New Delhi ,284 other locations
351,Himalaya Wellness,4.0,Pharma, New Delhi ,236 other locations
352,Tractors and Farm Equipment,3.9,Industrial Machinery, New Delhi ,191 other locations
353,BT Group,3.8,Telecom, New Delhi ,23 other locations
354,Tata Advanced Systems,3.7,Defence & Aerospace, New Delhi ,55 other locations
355,Parle Agro,4.0,Beverage, New Delhi ,255 other locations
356,Patanjali Ayurved,3.9,FMCG, New Delhi ,300 other locations
357,JCB,3.9,Industrial Machinery, New Delhi ,113 other locations
358,Statestreet HCL Services,3.4,BPO, New Delhi ,18 other locations
359,Paras Hospital,4.1,Healthcare, New Delhi ,62 other locations
360,IntouchCX,2.7,BPO, New Delhi ,22 other locations
361,McDonald's,3.9,Hospitality, New Delhi ,147 other locations
362,Foxconn,3.9,Electronics Manufacturing, New Delhi ,59 other locations
363,Laurus Labs,4.3,Pharma, New Delhi ,33 other locations
364,Physicswallah,3.6,EdTech, New Delhi ,121 other locations
365,ICICI Securities,3.9,Financial Services, New Delhi ,148 other locations
366,Mahindra Holidays & Resorts,3.5,Hospitality, New Delhi ,112 other locations
367,Emcure Pharmaceuticals,3.7,Pharma, New Delhi ,113 other locations
368,Biocon Limited,4.0,Biotechnology, New Delhi ,66 other locations
369,Mahindra Rural Housing Finance,4.0,NBFC, New Delhi ,460 other locations
370,Planet Spark,3.9,EdTech, New Delhi ,62 other locations
371,Photon Interactive,4.1,IT Services & Consulting, New Delhi ,18 other locations
372,Canara HSBC Life Insurance,3.6,Insurance, New Delhi ,308 other locations
373,Datamatics Global Services,3.3,IT Services & Consulting, New Delhi ,36 other locations
374,Intellect Design Arena,3.6,Software Product, New Delhi ,40 other locations
375,Axis Direct,3.6,Financial Services, New Delhi ,269 other locations
376,Aditya Birla Capital,3.8,NBFC, New Delhi ,285 other locations
377,Taj Hotels Resorts and Palaces,4.2,Hospitality, New Delhi ,109 other locations
378,Hero FinCorp,3.9,NBFC, New Delhi ,390 other locations
379,Capgemini Engineering,3.4,IT Services & Consulting, New Delhi ,27 other locations
380,3i Infotech,3.4,IT Services & Consulting, New Delhi ,127 other locations
381,Info Edge,4.0,Internet, New Delhi ,69 other locations
382,Cholamandalam MS General Insurance,3.7,Insurance, New Delhi ,384 other locations
383,Cadila Pharmaceuticals,3.3,Pharma, New Delhi ,134 other locations
384,KocharTech,3.7,IT Services & Consulting, New Delhi ,26 other locations
385,Syngene International,3.9,Clinical Research, New Delhi ,21 other locations
386,Aditya Birla Group,4.1,Metals & Mining, New Delhi ,263 other locations
387,Adani Group,3.8,Power, New Delhi ,186 other locations
388,Delhi Public School,3.8,Education & Training, New Delhi ,271 other locations
389,Cybage,3.8,IT Services & Consulting, New Delhi ,15 other locations
390,Bureau Veritas,3.8,Other, New Delhi ,143 other locations
391,Xoriant,4.1,IT Services & Consulting, New Delhi ,23 other locations
392,Lifestyle,4.3,Retail, New Delhi ,129 other locations
393,Akums Drugs & Pharmaceuticals Limited,4.2,Pharma, New Delhi ,37 other locations
394,Aavas Financiers,3.9,NBFC, New Delhi ,290 other locations
395,Eureka Forbes,3.6,Consumer Electronics & Appliances, New Delhi ,184 other locations
396,GVK Emergency Management and Research Institute,3.6,Non-Profit, New Delhi ,211 other locations
397,Straive,3.3,IT Services & Consulting, New Delhi ,31 other locations
398,RMSI,3.6,IT Services & Consulting, New Delhi ,24 other locations
399,Sopra Steria,3.9,IT Services & Consulting, New Delhi ,20 other locations
400,Kia India,3.9,Automobile, New Delhi ,184 other locations
401,Sobha,3.8,Real Estate, New Delhi ,37 other locations
402,Unacademy,2.9,EdTech, New Delhi ,72 other locations
403,CorroHealth infotech,3.7,Analytics & KPO, New Delhi ,31 other locations
404,Radisson Hotels,4.0,Hospitality, New Delhi ,125 other locations
405,Apollo Pharmacy,3.7,Pharma, New Delhi ,279 other locations
406,TaskUs,3.1,BPO, New Delhi ,35 other locations
407,Myntra,3.9,Internet, New Delhi ,104 other locations
408,Lava International,3.9,Consumer Electronics & Appliances, New Delhi ,222 other locations
